00:02:38.751  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030482, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602720158750, id=0fa758ff-0202-dadc-1316-87c796a2ed18, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:06:24.895  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030484, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602720384895, id=4c99a897-d49f-1f12-c015-51c034af1574, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:09:53.739  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030486, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602720593739, id=d3753756-6881-26e3-afe9-c803cb1bc6c4, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:13:34.193  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030488, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602720814193, id=304aa6e3-8502-4d40-30ea-eba74a2a3eec, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:17:34.257  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030490, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602721054257, id=9990f6ff-13db-93a5-9cbd-e17c947f2357, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:21:00.370  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030492, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602721260370, id=bdd13110-6398-2f9a-8f2d-0768fbbcad27, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:24:19.855  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030494, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602721459855, id=6defca0e-d3b1-229c-54cc-e8df20846701, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:28:08.248  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030496, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602721688248, id=24ccdfdf-0462-6697-9053-18c87782657b, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:31:19.332  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030498, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602721879332, id=41e238af-62b2-5060-3c07-3e4593a80dbb, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:42:23.033  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030500, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602722543033, id=4fbb4d05-e62a-1095-d6f2-30cf36579cd8, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:45:22.388  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030502, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602722722387, id=20e91f2e-fb0a-c459-78a0-9c5b1501d8d3, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:48:51.651  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030504, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602722931651, id=7438dfe1-1c69-838b-c205-13c02540aebd, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:52:37.885  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030506, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602723157885, id=273f8d21-e975-a0f5-2595-a3dd7681b384, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
00:55:50.779  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030508, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602723350779, id=49924792-859b-e072-7de5-a21c7d5ebe7d, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
01:00:13.013  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030510, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602723613013, id=6df9b79b-586d-26d5-2af7-56ac6204c095, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
01:09:08.473  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030512, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602724148473, id=a95092d8-a75a-0ac5-46cc-274466a071d1, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
